aug_filename,origin_filename,origin_split,origin_subtype,origin_subject,origin_env,aug_id,transform_profile,transform_params,warp_factor,scale_factor,noise_snr,crop_offset,splice_boundaries_clean,expected_onset_clean,detected_onset_clean,onset_delta,baseline_noise_ratio,auto_augmented_onset_ok,aug_status,reject_or_pending_reason
E1_S01_A_FALL_SIT_B_T007__aug0_sm_fa.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,0,small_fast,scale0.85129_warp0.85834_off0_snr26.76,0.85834,0.85129,26.76,0,100|300,147,143,-4,1.0366,True,use,
E1_S01_A_FALL_SIT_B_T007__aug1_sm_no.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,1,small_normal,scale0.81661_warp0.9679_off0_snr31.08,0.9679,0.81661,31.08,0,100|300,165,168,3,1.1611,True,use,
E1_S01_A_FALL_SIT_B_T007__aug2_sm_sl.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,2,small_slow,scale0.81825_warp1.27163_off54_snr28.98,1.27163,0.81825,28.98,54,100|300,163,166,3,1.0915,True,use,
E1_S01_A_FALL_SIT_F_T001__aug0_me_fa.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,0,medium_fast,scale0.9772_warp0.86767_off0_snr27.7,0.86767,0.9772,27.7,0,100|300,137,,,1.1708,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T001__aug2_me_sl.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,2,medium_slow,scale1.04716_warp1.13005_off26_snr30.46,1.13005,1.04716,30.46,26,100|300,153,139,-14,1.0865,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T002__aug1_la_no.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,1,large_normal,scale1.21837_warp0.99204_off0_snr27.13,0.99204,1.21837,27.13,0,100|300,107,,,1.0666,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T003__aug1_sm_no.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,1,small_normal,scale0.85421_warp0.96371_off0_snr28.9,0.96371,0.85421,28.9,0,100|300,127,127,0,1.0566,True,use,
E1_S01_A_FALL_SIT_F_T003__aug0_sm_fa.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,0,small_fast,scale0.89225_warp0.77378_off0_snr25.18,0.77378,0.89225,25.18,0,100|300,102,104,2,1.0642,True,use,
E1_S01_A_FALL_SIT_F_T001__aug1_me_no.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,1,medium_normal,scale1.02054_warp0.99695_off0_snr28.81,0.99695,1.02054,28.81,0,100|300,157,146,-11,1.0563,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T003__aug2_sm_sl.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,2,small_slow,scale0.80052_warp1.18563_off37_snr29.89,1.18563,0.80052,29.89,37,100|300,119,171,52,1.0745,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T004__aug1_me_no.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,1,medium_normal,scale1.00722_warp0.99305_off0_snr27.94,0.99305,1.00722,27.94,0,100|300,143,103,-40,1.1034,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T004__aug0_me_fa.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,0,medium_fast,scale0.96029_warp0.85957_off0_snr27.44,0.85957,0.96029,27.44,0,100|300,123,100,-23,1.1339,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T002__aug2_la_sl.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,2,large_slow,scale1.27098_warp1.12703_off25_snr27.02,1.12703,1.27098,27.02,25,100|300,97,,,1.0719,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T002__aug0_la_fa.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,0,large_fast,scale1.19889_warp0.77779_off0_snr31.88,0.77779,1.19889,31.88,0,100|300,84,113,29,1.0711,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T004__aug2_me_sl.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,2,medium_slow,scale0.99607_warp1.21107_off42_snr33.14,1.21107,0.99607,33.14,42,100|300,132,100,-32,1.1678,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T005__aug0_la_fa.npz,E1_S01_A_FALL_SIT_F_T005.csv,train,FALL_SIT_F,1,1,0,large_fast,scale1.13311_warp0.81292_off0_snr33.37,0.81292,1.13311,33.37,0,100|300,101,101,0,1.0641,True,use,
E1_S01_A_FALL_SIT_F_T005__aug2_la_sl.npz,E1_S01_A_FALL_SIT_F_T005.csv,train,FALL_SIT_F,1,1,2,large_slow,scale1.20615_warp1.14912_off29_snr28.22,1.14912,1.20615,28.22,29,100|300,113,109,-4,1.0502,True,use,
E1_S01_A_FALL_SIT_F_T005__aug1_la_no.npz,E1_S01_A_FALL_SIT_F_T005.csv,train,FALL_SIT_F,1,1,1,large_normal,scale1.25983_warp1.02752_off5_snr28.35,1.02752,1.25983,28.35,5,100|300,122,123,1,1.0728,True,use,
E1_S01_A_FALL_SIT_F_T007__aug0_sm_fa.npz,E1_S01_A_FALL_SIT_F_T007.csv,train,FALL_SIT_F,1,1,0,small_fast,scale0.87081_warp0.82791_off0_snr28.99,0.82791,0.87081,28.99,0,100|300,89,,,1.0849,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T007__aug1_sm_no.npz,E1_S01_A_FALL_SIT_F_T007.csv,train,FALL_SIT_F,1,1,1,small_normal,scale0.79303_warp1.00522_off1_snr27.68,1.00522,0.79303,27.68,1,100|300,108,,,1.0619,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T007__aug2_sm_sl.npz,E1_S01_A_FALL_SIT_F_T007.csv,train,FALL_SIT_F,1,1,2,small_slow,scale0.76437_warp1.15585_off31_snr27.89,1.15585,0.76437,27.89,31,100|300,94,131,37,1.0552,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T008__aug1_me_no.npz,E1_S01_A_FALL_SIT_F_T008.csv,train,FALL_SIT_F,1,1,1,medium_normal,scale1.02862_warp1.00662_off1_snr27.15,1.00662,1.02862,27.15,1,100|300,126,175,49,1.0812,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T010__aug1_la_no.npz,E1_S01_A_FALL_SIT_F_T010.csv,train,FALL_SIT_F,1,1,1,large_normal,scale1.22636_warp0.96046_off0_snr27.84,0.96046,1.22636,27.84,0,100|300,119,120,1,1.0772,True,use,
E1_S01_A_FALL_SIT_F_T008__aug0_me_fa.npz,E1_S01_A_FALL_SIT_F_T008.csv,train,FALL_SIT_F,1,1,0,medium_fast,scale0.95647_warp0.84818_off0_snr27.71,0.84818,0.95647,27.71,0,100|300,107,108,1,1.0787,True,use,
E1_S01_A_FALL_SIT_F_T010__aug2_la_sl.npz,E1_S01_A_FALL_SIT_F_T010.csv,train,FALL_SIT_F,1,1,2,large_slow,scale1.12088_warp1.24437_off48_snr31.1,1.24437,1.12088,31.1,48,100|300,106,105,-1,1.0696,True,use,
E1_S01_A_FALL_SIT_F_T008__aug2_me_sl.npz,E1_S01_A_FALL_SIT_F_T008.csv,train,FALL_SIT_F,1,1,2,medium_slow,scale0.98711_warp1.129_off25_snr31.01,1.129,0.98711,31.01,25,100|300,117,175,58,1.086,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_STD_B_T003__aug0_sm_fa.npz,E1_S01_A_FALL_STD_B_T003.csv,train,FALL_STD_B,1,1,0,small_fast,scale0.82524_warp0.81436_off0_snr30.43,0.81436,0.82524,30.43,0,100|300,119,119,0,1.0703,True,use,
E1_S01_A_FALL_STD_B_T003__aug2_sm_sl.npz,E1_S01_A_FALL_STD_B_T003.csv,train,FALL_STD_B,1,1,2,small_slow,scale0.83434_warp1.10704_off21_snr31.31,1.10704,0.83434,31.31,21,100|300,141,143,2,1.0673,True,use,
E1_S01_A_FALL_SIT_F_T010__aug0_la_fa.npz,E1_S01_A_FALL_SIT_F_T010.csv,train,FALL_SIT_F,1,1,0,large_fast,scale1.19719_warp0.79077_off0_snr27.56,0.79077,1.19719,27.56,0,100|300,98,100,2,1.0951,True,use,
E1_S01_A_FALL_STD_B_T003__aug1_sm_no.npz,E1_S01_A_FALL_STD_B_T003.csv,train,FALL_STD_B,1,1,1,small_normal,scale0.84986_warp0.98206_off0_snr26.81,0.98206,0.84986,26.81,0,100|300,144,144,0,1.1039,True,use,
