aug_filename,origin_filename,origin_split,origin_subtype,origin_subject,origin_env,aug_id,transform_profile,transform_params,warp_factor,scale_factor,noise_snr,crop_offset,splice_boundaries_clean,expected_onset_clean,detected_onset_clean,onset_delta,baseline_noise_ratio,auto_augmented_onset_ok,aug_status,reject_or_pending_reason
E1_S01_A_FALL_SIT_B_T007__aug2_me_no.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,2,medium_normal,scale1.01053_warp1.02531_off5_snr26.98,1.02531,1.01053,26.98,5,100|300,170,158,-12,1.107,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_B_T007__aug0_sm_no.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,0,small_normal,scale0.77473_warp1.04581_off9_snr34.91,1.04581,0.77473,34.91,9,100|300,170,172,2,1.1431,True,use,
E1_S01_A_FALL_SIT_B_T007__aug1_sm_fa.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,1,small_fast,scale0.85593_warp0.85413_off0_snr26.29,0.85413,0.85593,26.29,0,100|300,146,146,0,1.0501,True,use,
E1_S01_A_FALL_SIT_B_T007__aug3_me_fa.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,3,medium_fast,scale0.98304_warp0.87522_off0_snr32.62,0.87522,0.98304,32.62,0,100|300,150,151,1,1.0628,True,use,
E1_S01_A_FALL_SIT_B_T007__aug4_la_no.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,4,large_normal,scale1.26164_warp0.95077_off0_snr31.21,0.95077,1.26164,31.21,0,100|300,162,133,-29,1.0833,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T001__aug3_me_fa.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,3,medium_fast,scale1.02268_warp0.89799_off0_snr28.21,0.89799,1.02268,28.21,0,100|300,142,164,22,1.1704,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T001__aug2_me_no.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,2,medium_normal,scale0.96413_warp1.04665_off9_snr34.44,1.04665,0.96413,34.44,9,100|300,156,146,-10,1.1309,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_B_T007__aug5_la_fa.npz,E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,1,1,5,large_fast,scale1.1062_warp0.82612_off0_snr29.5,0.82612,1.1062,29.5,0,100|300,141,141,0,1.0483,True,use,
E1_S01_A_FALL_SIT_F_T001__aug4_la_no.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,4,large_normal,scale1.14149_warp1.01868_off3_snr25.15,1.01868,1.14149,25.15,3,100|300,158,,,1.1327,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T001__aug0_sm_no.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,0,small_normal,scale0.78903_warp0.99494_off0_snr28.18,0.99494,0.78903,28.18,0,100|300,157,182,25,1.2017,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T001__aug1_sm_fa.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,1,small_fast,scale0.81681_warp0.80001_off0_snr25.44,0.80001,0.81681,25.44,0,100|300,126,126,0,1.131,True,use,
E1_S01_A_FALL_SIT_F_T001__aug5_la_fa.npz,E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,1,1,5,large_fast,scale1.11563_warp0.76003_off0_snr31.18,0.76003,1.11563,31.18,0,100|300,120,108,-12,1.2044,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T002__aug1_sm_fa.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,1,small_fast,scale0.82155_warp0.87967_off0_snr28.82,0.87967,0.82155,28.82,0,100|300,95,,,1.0772,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T002__aug2_me_no.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,2,medium_normal,scale1.03005_warp0.97953_off0_snr33.19,0.97953,1.03005,33.19,0,100|300,106,,,1.0895,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T002__aug0_sm_no.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,0,small_normal,scale0.79205_warp1.03665_off7_snr26.68,1.03665,0.79205,26.68,7,100|300,105,150,45,1.0915,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T002__aug3_me_fa.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,3,medium_fast,scale0.96591_warp0.84263_off0_snr25.97,0.84263,0.96591,25.97,0,100|300,91,,,1.0536,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T002__aug4_la_no.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,4,large_normal,scale1.2236_warp0.96742_off0_snr26.06,0.96742,1.2236,26.06,0,100|300,104,158,54,1.0573,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T002__aug5_la_fa.npz,E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,1,1,5,large_fast,scale1.29904_warp0.86271_off0_snr32.02,0.86271,1.29904,32.02,0,100|300,93,,,1.061,False,pending,rise_not_found
E1_S01_A_FALL_SIT_F_T003__aug0_sm_no.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,0,small_normal,scale0.81808_warp0.96351_off0_snr28.78,0.96351,0.81808,28.78,0,100|300,127,126,-1,1.0958,True,use,
E1_S01_A_FALL_SIT_F_T003__aug1_sm_fa.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,1,small_fast,scale0.7609_warp0.8462_off0_snr30.44,0.8462,0.7609,30.44,0,100|300,111,120,9,1.0636,True,use,
E1_S01_A_FALL_SIT_F_T003__aug2_me_no.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,2,medium_normal,scale1.00886_warp0.96285_off0_snr33.43,0.96285,1.00886,33.43,0,100|300,127,168,41,1.0894,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T003__aug5_la_fa.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,5,large_fast,scale1.11021_warp0.75584_off0_snr33.38,0.75584,1.11021,33.38,0,100|300,100,131,31,1.0905,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T003__aug3_me_fa.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,3,medium_fast,scale1.03334_warp0.79945_off0_snr33.31,0.79945,1.03334,33.31,0,100|300,105,106,1,1.0691,True,use,
E1_S01_A_FALL_SIT_F_T004__aug0_sm_no.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,0,small_normal,scale0.84625_warp0.96346_off0_snr27.14,0.96346,0.84625,27.14,0,100|300,139,100,-39,1.0711,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T003__aug4_la_no.npz,E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,1,1,4,large_normal,scale1.14568_warp1.02789_off5_snr29.65,1.02789,1.14568,29.65,5,100|300,131,145,14,1.0797,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T004__aug3_me_fa.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,3,medium_fast,scale0.98361_warp0.8891_off0_snr33.17,0.8891,0.98361,33.17,0,100|300,128,100,-28,1.1029,False,pending,aug_onset_disagree(>10)
E1_S01_A_FALL_SIT_F_T004__aug4_la_no.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,4,large_normal,scale1.15239_warp0.95989_off0_snr32.3,0.95989,1.15239,32.3,0,100|300,138,104,-34,1.0952,False,pending,aug_onset_disagree(>5)
E1_S01_A_FALL_SIT_F_T004__aug5_la_fa.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,5,large_fast,scale1.14723_warp0.79864_off0_snr30.51,0.79864,1.14723,30.51,0,100|300,115,114,,1.3058,False,pending,baseline_noise_high
E1_S01_A_FALL_SIT_F_T004__aug1_sm_fa.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,1,small_fast,scale0.84326_warp0.79559_off0_snr30.2,0.79559,0.84326,30.2,0,100|300,114,114,0,1.2921,True,use,
E1_S01_A_FALL_SIT_F_T004__aug2_me_no.npz,E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,1,1,2,medium_normal,scale1.03114_warp0.99291_off0_snr29.8,0.99291,1.03114,29.8,0,100|300,143,102,-41,1.1242,False,pending,aug_onset_disagree(>5)
