manifest_id,manifest_version,filename,env,subject,activity,subtype,trial,split_id,split_assignment,split_unit,test_sealed,source,usable_for_training,exclude_reason,exclude_candidate,exclude_candidate_reason,onset_frame_original,onset_frame_clean,rise_frame_original,rise_frame_clean,peak_frame_original,peak_frame_clean,baseline_median,baseline_mad,baseline_iqr,baseline_p75,baseline_p90,baseline_noise_ratio,baseline_mad_ratio,rise_strength,rise_slope,confidence_ref,param_sensitivity,topk_spread,topk_spread_extreme,soft_warning_count,needs_review,needs_review_hard_reasons,needs_review_soft_reasons,review_priority,review_priority_reasons
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,filename,True,auto_reviewed,True,,False,,256,156,256,156,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.15337,0.00666,0.59187,7.0,2,False,1,False,,rise_slope_low,high,has_hard_review
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T002.csv,1,1,FALL_SIT_B,FALL_SIT_B,2,within_subject_seed42_val0.2_test0.2_pretrained6,train,filename,True,pending_manual,False,,False,,,,190,,265,165,0.14312,0.0057,0.01198,0.14786,0.15633,1.09229,0.03986,1.17766,0.01376,0.59921,0.0,2,False,1,True,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,rise_slope_low,high,has_hard_review
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T003.csv,1,1,FALL_SIT_B,FALL_SIT_B,3,within_subject_seed42_val0.2_test0.2_pretrained6,test,filename,True,auto_reviewed,True,,False,,204,104,204,104,286,186,0.13555,0.0065,0.01335,0.14455,0.14735,1.08705,0.04794,1.15036,0.02724,0.56721,1.0,8,False,0,False,,,normal,
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T004.csv,1,1,FALL_SIT_B,FALL_SIT_B,4,within_subject_seed42_val0.2_test0.2_pretrained6,test,filename,True,auto_reviewed,True,,False,,272,172,272,172,276,176,0.1642,0.00848,0.01673,0.17242,0.18166,1.10632,0.05164,1.20768,0.17215,0.63586,0.0,2,False,0,False,,,normal,
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T005.csv,1,1,FALL_SIT_B,FALL_SIT_B,5,within_subject_seed42_val0.2_test0.2_pretrained6,val,filename,True,pending_manual,False,,False,,,,,,,,0.16113,0.01171,0.02341,0.17299,0.18231,1.13147,0.07267,,,,86.0,,False,1,True,rise_not_found,param_sensitivity_high,high,has_hard_review
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T006.csv,1,1,FALL_SIT_B,FALL_SIT_B,6,within_subject_seed42_val0.2_test0.2_pretrained6,train,filename,True,pending_manual,False,,False,,,,261,161,322,222,0.15987,0.0093,0.02018,0.1719,0.18474,1.15559,0.05819,1.22982,0.04094,0.49323,61.0,60,True,3,True,,confidence_ref_low;param_sensitivity_high;topk_spread_high,normal,
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T007.csv,1,1,FALL_SIT_B,FALL_SIT_B,7,within_subject_seed42_val0.2_test0.2_pretrained6,train,filename,True,auto_reviewed,True,,False,,271,171,271,171,276,176,0.31135,0.01029,0.02014,0.32043,0.33205,1.06647,0.03306,1.11451,0.06929,0.58601,42.0,2,False,1,False,,rise_strength_low,normal,
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T008.csv,1,1,FALL_SIT_B,FALL_SIT_B,8,within_subject_seed42_val0.2_test0.2_pretrained6,val,filename,True,pending_manual,False,,False,,,,,,,,0.15588,0.01133,0.02264,0.16736,0.17638,1.13147,0.07267,,,,86.0,,False,1,True,rise_not_found,param_sensitivity_high,high,has_hard_review
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T009.csv,1,1,FALL_SIT_B,FALL_SIT_B,9,within_subject_seed42_val0.2_test0.2_pretrained6,train,filename,True,pending_manual,False,,False,,,,,,,,0.29967,0.01358,0.02687,0.31381,0.33825,1.12875,0.04531,,,,1.0,,False,0,True,rise_not_found,,high,has_hard_review
onset_manifest_v1_2026-06-05,v1_auto_reviewed,E1_S01_A_FALL_SIT_B_T010.csv,1,1,FALL_SIT_B,FALL_SIT_B,10,within_subject_seed42_val0.2_test0.2_pretrained6,train,filename,True,pending_manual,False,,False,,,,258,158,309,209,0.28153,0.01173,0.02329,0.2931,0.3005,1.06736,0.04166,1.15008,0.02017,0.49837,7.0,49,True,2,True,,confidence_ref_low;topk_spread_high,normal,
