rank,filename,subtype,split_assignment,review_priority,hard_reasons,soft_reasons,soft_count,baseline_noise_ratio,param_sensitivity,topk_spread,peak_over_baseline,topk_count,walk_baseline_contamination,topk_cand_frames_clean,rise_frame_original,exclude_candidate,recommendation
1,E1_S01_A_FALL_WALK_F_T002.csv,FALL_WALK_F,val,normal,,"baseline_noise_high,baseline_mad_high",2,2.51855,0.0,2,2.122,3,True,177|176|175,275,False,"auto rise frame 275.0(clean 175) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
2,E1_S01_A_FALL_WALK_F_T004.csv,FALL_WALK_F,train,normal,,"baseline_noise_high,baseline_mad_high",2,2.51855,0.0,2,2.122,3,True,177|176|175,275,False,"auto rise frame 275.0(clean 175) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
3,E1_S01_A_FALL_WALK_F_T010.csv,FALL_WALK_F,val,normal,,"baseline_noise_high,baseline_mad_high",2,2.51855,0.0,2,2.122,3,True,177|176|175,275,False,"auto rise frame 275.0(clean 175) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
4,E4_S03_A_FALL_STD_B_T001.csv,FALL_STD_B,val,normal,,"baseline_noise_high,baseline_mad_high",2,1.30693,51.0,2,1.562,5,False,181|180|179,227,False,"auto rise frame 227.0(clean 127) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
5,E4_S02_A_FALL_WALK_F_T003.csv,FALL_WALK_F,val,normal,,"baseline_noise_high,baseline_mad_high",2,1.28577,0.0,2,9.533,18,True,121|122|123,214,False,"auto rise frame 214.0(clean 114) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
6,E2_S02_A_FALL_WALK_F_T007.csv,FALL_WALK_F,val,normal,,"baseline_noise_high,baseline_mad_high",2,1.26741,1.0,2,1.701,7,True,121|120|122,218,False,"auto rise frame 218.0(clean 118) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
7,E4_S02_A_FALL_STD_B_T001.csv,FALL_STD_B,train,normal,,"baseline_noise_high,baseline_mad_high",2,1.24018,0.0,2,2.074,13,False,170|169|168,205,False,"auto rise frame 205.0(clean 105) but weak (soft: baseline_noise_high,baseline_mad_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
8,E1_S01_A_FALL_SIT_B_T006.csv,FALL_SIT_B,train,normal,,"confidence_ref_low,param_sensitivity_high,topk_spread_high",3,1.15559,61.0,60,1.318,5,False,222|163|162,261,False,"auto rise frame 261.0(clean 161) but weak (soft: confidence_ref_low,param_sensitivity_high,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
9,E3_S03_A_FALL_STD_B_T004.csv,FALL_STD_B,train,normal,,"rise_slope_low,confidence_ref_low,param_sensitivity_high,topk_spread_high",4,1.13451,90.0,58,1.309,11,False,205|147|203,213,False,"auto rise frame 213.0(clean 113) but weak (soft: rise_slope_low,confidence_ref_low,param_sensitivity_high,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
10,E2_S02_A_FALL_SIT_B_T002.csv,FALL_SIT_B,train,normal,,"confidence_ref_low,topk_spread_high",2,1.11269,2.0,66,1.603,33,False,229|164|163,231,False,"auto rise frame 231.0(clean 131) but weak (soft: confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
11,E2_S02_A_FALL_STD_B_T003.csv,FALL_STD_B,val,normal,,"param_sensitivity_high,topk_spread_high",2,1.10672,76.0,24,1.49,13,False,215|192|191,289,False,"auto rise frame 289.0(clean 189) but weak (soft: param_sensitivity_high,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
12,E3_S03_A_FALL_SIT_F_T001.csv,FALL_SIT_F,train,normal,,"rise_strength_low,param_sensitivity_high",2,1.10389,57.0,2,1.441,10,False,190|191|189,286,False,"auto rise frame 286.0(clean 186) but weak (soft: rise_strength_low,param_sensitivity_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
13,E4_S03_A_FALL_SIT_B_T002.csv,FALL_SIT_B,val,normal,,"rise_strength_low,topk_spread_high",2,1.07424,1.0,26,1.711,71,False,206|181|180,227,False,"auto rise frame 227.0(clean 127) but weak (soft: rise_strength_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
14,E1_S01_A_FALL_STD_B_T008.csv,FALL_STD_B,val,normal,,"rise_strength_low,confidence_ref_low",2,1.07034,0.0,2,1.524,11,False,231|232|233,214,False,"auto rise frame 214.0(clean 114) but weak (soft: rise_strength_low,confidence_ref_low). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
15,E1_S01_A_FALL_SIT_B_T010.csv,FALL_SIT_B,train,normal,,"confidence_ref_low,topk_spread_high",2,1.06736,7.0,49,1.253,10,False,209|164|160,258,False,"auto rise frame 258.0(clean 158) but weak (soft: confidence_ref_low,topk_spread_high). likely OK, manual confirm. Recommendation only. Final onset decision must be approved by Jinkyu."
