filename,subtype,split_assignment,decision,final_onset_frame_original,final_onset_frame_clean,exclude_reason,recommended_onset,reviewer,reviewed_at
"E4_S02_A_FALL_WALK_B_T007.csv","FALL_WALK_B","train","modify","117","67","","202","jinkyu","2026-06-05T17:28:20.081Z"
"E4_S03_A_FALL_WALK_B_T008.csv","FALL_WALK_B","train","modify","125","75","","","jinkyu","2026-06-05T17:29:42.978Z"
"E3_S03_A_FALL_WALK_B_T010.csv","FALL_WALK_B","train","modify","111","61","","","jinkyu","2026-06-05T17:30:10.821Z"
"E4_S03_A_FALL_WALK_F_T001.csv","FALL_WALK_F","train","modify","232","132","","","jinkyu","2026-06-05T17:36:38.922Z"
"E2_S02_A_FALL_WALK_F_T001.csv","FALL_WALK_F","train","modify","171","","","","jinkyu","2026-06-05T17:43:27.408Z"
"E4_S02_A_FALL_WALK_F_T004.csv","FALL_WALK_F","train","approve","200","100","","200","jinkyu","2026-06-05T17:46:21.678Z"
"E2_S02_A_FALL_WALK_F_T009.csv","FALL_WALK_F","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T17:50:40.914Z"
"E2_S02_A_FALL_WALK_F_T006.csv","FALL_WALK_F","train","exclude","","","walking_residual","","jinkyu","2026-06-05T17:54:48.677Z"
"E3_S03_A_FALL_WALK_F_T002.csv","FALL_WALK_F","train","modify","131","81","","","jinkyu","2026-06-05T17:56:13.144Z"
"E4_S02_A_FALL_WALK_B_T010.csv","FALL_WALK_B","train","approve","244","144","","244","jinkyu","2026-06-05T18:41:01.834Z"
"E4_S02_A_FALL_WALK_B_T009.csv","FALL_WALK_B","train","exclude","","","beep_misfire","","jinkyu","2026-06-05T18:44:44.525Z"
"E4_S02_A_FALL_WALK_F_T009.csv","FALL_WALK_F","train","exclude","","","walking_residual","","jinkyu","2026-06-05T18:38:33.597Z"
"E3_S03_A_FALL_WALK_B_T009.csv","FALL_WALK_B","train","modify","126","76","","","jinkyu","2026-06-05T18:47:05.354Z"
"E2_S02_A_FALL_WALK_F_T010.csv","FALL_WALK_F","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:15:53.893Z"
"E4_S03_A_FALL_SIT_B_T005.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:32:04.253Z"
"E2_S02_A_FALL_SIT_F_T008.csv","FALL_SIT_F","train","exclude","","","no_clear_transient","276","jinkyu","2026-06-05T19:31:24.379Z"
"E2_S02_A_FALL_WALK_B_T010.csv","FALL_WALK_B","train","approve","208","108","","208","jinkyu","2026-06-05T18:47:18.119Z"
"E4_S03_A_FALL_WALK_F_T010.csv","FALL_WALK_F","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:16:07.841Z"
"E4_S02_A_FALL_WALK_B_T005.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:47:31.820Z"
"E3_S03_A_FALL_WALK_F_T003.csv","FALL_WALK_F","val","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:16:17.012Z"
"E4_S03_A_FALL_WALK_B_T005.csv","FALL_WALK_B","train","modify","206","106","","237","jinkyu","2026-06-05T18:48:23.955Z"
"E4_S02_A_FALL_WALK_F_T001.csv","FALL_WALK_F","train","approve","245","145","","245","jinkyu","2026-06-05T18:16:23.128Z"
"E1_S01_A_FALL_SIT_F_T006.csv","FALL_SIT_F","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:31:27.388Z"
"E2_S02_A_FALL_STD_B_T009.csv","FALL_STD_B","val","modify","261","161","","264","jinkyu","2026-06-05T19:28:03.526Z"
"E2_S02_A_FALL_STD_B_T002.csv","FALL_STD_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:28:08.671Z"
"E2_S02_A_FALL_WALK_B_T002.csv","FALL_WALK_B","val","exclude","","","beep_misfire","","jinkyu","2026-06-05T18:48:37.115Z"
"E4_S01_A_FALL_WALK_B_T004.csv","FALL_WALK_B","train","exclude","","","no_clear_transient","255","jinkyu","2026-06-05T18:49:39.014Z"
"E3_S03_A_FALL_STD_F_T005.csv","FALL_STD_F","train","exclude","","","no_clear_transient","286","jinkyu","2026-06-05T19:12:35.366Z"
"E4_S02_A_FALL_SIT_B_T002.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:32:07.762Z"
"E4_S02_A_FALL_WALK_B_T001.csv","FALL_WALK_B","val","exclude","","","no_clear_transient","","jinkyu","2026-06-05T18:50:14.129Z"
"E2_S02_A_FALL_STD_B_T010.csv","FALL_STD_B","val","modify","231","131","","237","jinkyu","2026-06-05T19:28:14.009Z"
"E1_S01_A_FALL_SIT_B_T005.csv","FALL_SIT_B","val","modify","346","246","","","jinkyu","2026-06-05T19:32:17.053Z"
"E1_S01_A_FALL_SIT_B_T008.csv","FALL_SIT_B","val","modify","350","250","","","jinkyu","2026-06-05T19:32:24.815Z"
"E4_S01_A_FALL_WALK_B_T002.csv","FALL_WALK_B","train","exclude","","","beep_misfire","200","jinkyu","2026-06-05T18:51:23.090Z"
"E1_S01_A_FALL_SIT_B_T009.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","","jinkyu","2026-06-05T19:32:27.536Z"
"E4_S03_A_FALL_WALK_F_T002.csv","FALL_WALK_F","train","exclude","","","no_clear_transient","268","jinkyu","2026-06-05T18:27:51.137Z"
"E3_S03_A_FALL_WALK_B_T006.csv","FALL_WALK_B","val","exclude","","","no_clear_transient","253","jinkyu","2026-06-05T18:51:34.569Z"
"E4_S03_A_FALL_WALK_F_T007.csv","FALL_WALK_F","train","approve","274","174","","274","jinkyu","2026-06-05T18:28:16.530Z"
"E2_S02_A_FALL_STD_F_T005.csv","FALL_STD_F","train","modify","262","162","","270","jinkyu","2026-06-05T19:14:25.076Z"
"E1_S01_A_FALL_STD_F_T005.csv","FALL_STD_F","train","exclude","","","no_clear_transient","309","jinkyu","2026-06-05T19:14:31.341Z"
"E2_S02_A_FALL_WALK_F_T005.csv","FALL_WALK_F","val","exclude","","","no_clear_transient","200","jinkyu","2026-06-05T18:30:41.319Z"
"E1_S01_A_FALL_STD_F_T003.csv","FALL_STD_F","train","exclude","","","no_clear_transient","309","jinkyu","2026-06-05T19:14:34.387Z"
"E2_S02_A_FALL_WALK_B_T005.csv","FALL_WALK_B","train","exclude","","","beep_misfire","","jinkyu","2026-06-05T18:51:43.275Z"
