filename,subtype,split_assignment,decision,final_onset_frame_original,final_onset_frame_clean,exclude_reason,recommended_onset,reviewer,reviewed_at
"E1_S01_A_FALL_WALK_F_T002.csv","FALL_WALK_F","val","modify","83","33","","275","jinkyu","2026-06-06T06:28:17.258Z"
"E1_S01_A_FALL_WALK_F_T004.csv","FALL_WALK_F","train","modify","82","32","","275","jinkyu","2026-06-06T06:28:44.754Z"
"E1_S01_A_FALL_WALK_F_T010.csv","FALL_WALK_F","val","modify","83","33","","275","jinkyu","2026-06-06T06:28:54.026Z"
"E4_S03_A_FALL_STD_B_T001.csv","FALL_STD_B","val","exclude","","","no_clear_transient","227","jinkyu","2026-06-06T06:29:04.706Z"
"E4_S02_A_FALL_WALK_F_T003.csv","FALL_WALK_F","val","modify","213","113","","214","jinkyu","2026-06-06T06:29:24.727Z"
"E2_S02_A_FALL_WALK_F_T007.csv","FALL_WALK_F","val","exclude","","","other","218","jinkyu","2026-06-06T06:30:37.060Z"
"E4_S02_A_FALL_STD_B_T001.csv","FALL_STD_B","train","modify","263","163","","205","jinkyu","2026-06-06T06:33:37.786Z"
"E1_S01_A_FALL_SIT_B_T006.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","261","jinkyu","2026-06-06T06:33:42.401Z"
"E3_S03_A_FALL_STD_B_T004.csv","FALL_STD_B","train","exclude","","","no_clear_transient","213","jinkyu","2026-06-06T06:33:45.650Z"
"E2_S02_A_FALL_SIT_B_T002.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","231","jinkyu","2026-06-06T06:33:48.954Z"
"E2_S02_A_FALL_STD_B_T003.csv","FALL_STD_B","val","exclude","","","no_clear_transient","289","jinkyu","2026-06-06T06:35:38.292Z"
"E3_S03_A_FALL_SIT_F_T001.csv","FALL_SIT_F","train","exclude","","","no_clear_transient","286","jinkyu","2026-06-06T06:35:42.653Z"
"E4_S03_A_FALL_SIT_B_T002.csv","FALL_SIT_B","val","modify","227","127","","227","jinkyu","2026-06-06T06:42:00.463Z"
"E1_S01_A_FALL_STD_B_T008.csv","FALL_STD_B","val","modify","321","221","","214","jinkyu","2026-06-06T06:43:55.890Z"
"E1_S01_A_FALL_SIT_B_T010.csv","FALL_SIT_B","train","exclude","","","no_clear_transient","258","jinkyu","2026-06-06T06:42:42.604Z"
"E4_S01_A_FALL_STD_F_T002.csv","FALL_STD_F","train","modify","251","151","","223","jinkyu","2026-06-06T06:45:12.835Z"
"E4_S02_A_FALL_SIT_F_T004.csv","FALL_SIT_F","train","approve","229","129","","229","jinkyu","2026-06-06T06:43:01.420Z"
