filename,subtype,env,subject,split_assignment,onset_status,usable_for_fixed,usable_for_onset_aligned,exclude_scope,onset_frame_clean,crop_policy,crop_start_clean,crop_end_clean,generated,crop_exclude_reason,manifest_id
E1_S01_A_FALL_SIT_B_T001.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,156,fixed,50,350,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T001.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,156,onset_primary,106,406,False,crop_out_of_bounds,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T001.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,156,onset_reduced,56,356,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T002.csv,FALL_SIT_B,1,1,train,onset_unusable,True,False,onset_aligned_only,,fixed,50,350,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T002.csv,FALL_SIT_B,1,1,train,onset_unusable,True,False,onset_aligned_only,,onset_primary,,,False,not_usable_for_onset_aligned,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T002.csv,FALL_SIT_B,1,1,train,onset_unusable,True,False,onset_aligned_only,,onset_reduced,,,False,not_usable_for_onset_aligned,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T003.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,104,fixed,50,350,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T003.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,104,onset_primary,54,354,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T003.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,104,onset_reduced,4,304,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T004.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,172,fixed,50,350,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T004.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,172,onset_primary,122,422,False,crop_out_of_bounds,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T004.csv,FALL_SIT_B,1,1,test,auto_reviewed,True,True,none,172,onset_reduced,72,372,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T005.csv,FALL_SIT_B,1,1,val,manual_corrected,True,True,none,246,fixed,50,350,True,,onset_manifest_v2_2026-06-06
E1_S01_A_FALL_SIT_B_T005.csv,FALL_SIT_B,1,1,val,manual_corrected,True,True,none,246,onset_primary,196,496,False,crop_out_of_bounds,onset_manifest_v2_2026-06-06
