filename,split_assignment,subtype,n_valid_param_rows,nominal_valid_count,broad_valid_count,nominal_rise_median,broad_rise_median,nominal_broad_delta_median,param_sensitivity_range_overall,any_hard_review,hard_reason_union,review_priority,review_priority_reasons
E1_S01_A_FALL_SIT_B_T001.csv,test,FALL_SIT_B,12,6,6,251.0,251.0,0.0,7.0,True,topk_no_consensus_hard,high,has_hard_review
E1_S01_A_FALL_SIT_B_T002.csv,train,FALL_SIT_B,12,6,6,190.0,186.0,-4.0,4.0,True,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,high,has_hard_review
E1_S01_A_FALL_SIT_B_T003.csv,test,FALL_SIT_B,12,6,6,204.0,204.0,0.0,1.0,False,,normal,
E1_S01_A_FALL_SIT_B_T004.csv,test,FALL_SIT_B,12,6,6,272.0,272.0,0.0,0.0,False,,normal,
E1_S01_A_FALL_SIT_B_T005.csv,val,FALL_SIT_B,9,3,6,345.0,349.5,0.0,92.0,True,rise_not_found,high,has_hard_review
E1_S01_A_FALL_SIT_B_T006.csv,train,FALL_SIT_B,12,6,6,261.0,261.0,0.0,61.0,False,,normal,
E1_S01_A_FALL_SIT_B_T007.csv,train,FALL_SIT_B,12,6,6,271.0,271.0,0.0,42.0,False,,normal,
E1_S01_A_FALL_SIT_B_T008.csv,val,FALL_SIT_B,9,3,6,345.0,349.5,0.0,92.0,True,rise_not_found,high,has_hard_review
E1_S01_A_FALL_SIT_B_T009.csv,train,FALL_SIT_B,6,3,3,263.0,263.0,0.0,1.0,True,rise_not_found,high,has_hard_review
E1_S01_A_FALL_SIT_B_T010.csv,train,FALL_SIT_B,12,6,6,258.0,258.0,0.0,7.0,False,,normal,
E1_S01_A_FALL_SIT_F_T001.csv,train,FALL_SIT_F,12,6,6,258.0,258.0,0.0,17.0,False,,normal,
E1_S01_A_FALL_SIT_F_T002.csv,train,FALL_SIT_F,12,6,6,208.0,208.0,0.0,40.0,False,,normal,
E1_S01_A_FALL_SIT_F_T003.csv,train,FALL_SIT_F,12,6,6,232.0,207.0,-17.5,65.0,True,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,high,has_hard_review
E1_S01_A_FALL_SIT_F_T004.csv,train,FALL_SIT_F,12,6,6,196.0,196.0,0.0,0.0,True,frame_mapping_failed;rise_in_beep_region;rise_too_early_original_lt_200,high,has_hard_review
